"ID tanggapan","Tanggal pengiriman","Halaman terakhir","Bahasa utama","Biji","Kode akses","Tanggal mulai","Tanggal tindakan terakhir","Alamat IP","Apakah suhu ruang server sesuai standar (kurang dari 25 derajat)?","Apakah suhu ruang server sesuai standar (kurang dari 25 derajat)? [Lainnya]","Apakah lampu ruangan server dapat menyala dengan baik?","Apakah lampu ruangan server dapat menyala dengan baik? [Lainnya]","Apakah kondisi APAR baik? (ada apar, belum expired, kondisi fisik baik)","Apakah kondisi APAR baik? (ada apar, belum expired, kondisi fisik baik) [Lainnya]","Apakah ruangan bersih? (lantai bersih, tidak ada sarang laba2, tidak ada genangan air / cairan,...)","Apakah ruangan bersih? (lantai bersih, tidak ada sarang laba2, tidak ada genangan air / cairan,...) [Lainnya]","Apakah AC dalam kondisi baik? (tidak ada tetesan air, timer menyala)","Apakah AC dalam kondisi baik? (tidak ada tetesan air, timer menyala) [Lainnya]","Apakah di ruangan tidak ada suara abnormal (kipas Server bunyi berisik, UPS bunyi berisik, dll)?","Apakah di ruangan tidak ada suara abnormal (kipas Server bunyi berisik, UPS bunyi berisik, dll)? [Lainnya]","Apakah Indikator UPS normal (tidak ada warning/error)?","Apakah Indikator UPS normal (tidak ada warning/error)? [Lainnya]","Apakah indikator setiap Server menyala hijau/normal?","Apakah indikator setiap Server menyala hijau/normal? [Lainnya]"
"12","2024-08-07 10:37:38","8","id","1945524102","jundy","2024-08-07 10:34:13","2024-08-07 10:37:38","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Lainnya","Suara fan server cctv berisik","Lainnya","Tidak ada ups yang aktif (rusak)","Yes",""
"13","2024-08-14 09:47:51","8","id","2140271856","abimanyu","2024-08-14 09:47:31","2024-08-14 09:47:51","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"14","2024-08-15 16:31:23","8","id","540405420","abimanyu","2024-08-15 16:31:09","2024-08-15 16:31:23","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"15","2024-08-16 09:18:49","8","id","1878134094","pandu","2024-08-16 09:17:16","2024-08-16 09:18:49","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"16","2024-08-29 14:32:12","8","id","1468392322","abimanyu","2024-08-29 14:31:56","2024-08-29 14:32:12","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"17","2024-09-30 08:24:39","8","id","984633346","pandu","2024-09-30 08:24:18","2024-09-30 08:24:39","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"18","2024-10-16 09:27:32","8","id","1914052672","aries","2024-10-16 09:06:00","2024-10-16 09:27:32","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"19","2024-10-16 10:02:39","8","id","1156649368","aries","2024-10-16 09:32:13","2024-10-16 10:02:39","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"20","","2","id","159189032","pandu","2024-10-18 11:19:01","2024-10-18 11:19:17","10.35.37.0","Yes","","Yes","","","","","","","","","","","","",""
"21","2025-08-21 08:57:53","8","id","749834248","pandu","2025-08-21 08:57:26","2025-08-21 08:57:53","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"22","","","id","204672375","perdana","2025-08-25 08:35:42","2025-08-25 08:35:42","10.35.37.0","","","","","","","","","","","","","","","",""
"23","2025-08-25 08:37:14","8","id","1151239293","perdana","2025-08-25 08:36:24","2025-08-25 08:37:14","182.2.167.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"24","2025-08-26 16:38:11","8","id","214677089","abimanyu","2025-08-26 16:37:16","2025-08-26 16:38:11","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"25","2025-08-27 10:11:01","8","id","1736472224","yusup","2025-08-27 10:08:32","2025-08-27 10:11:01","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Lainnya","Satu HDD blinking "
"26","2025-09-01 16:55:03","8","id","227581347","perdana","2025-09-01 16:54:43","2025-09-01 16:55:03","182.3.52.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"27","2025-09-03 10:02:22","8","id","1263944581","pandu","2025-09-03 10:01:23","2025-09-03 10:02:22","10.35.37.0","Yes","","Yes","","Yes","","Lainnya","Berantakan","Yes","","Yes","","Yes","","Lainnya","Server 0.5 orange hdd"
"28","2025-09-04 09:50:22","8","id","625058179","abimanyu","2025-09-04 09:49:50","2025-09-04 09:50:22","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"29","2025-09-09 14:23:19","8","id","451975008","abimanyu","2025-09-09 14:22:33","2025-09-09 14:23:19","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"30","2025-09-10 09:12:28","8","id","1997549575","abimanyu","2025-09-10 09:12:10","2025-09-10 09:12:28","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"31","2025-09-12 08:57:03","8","id","1356531096","perdana","2025-09-12 08:56:06","2025-09-12 08:57:03","182.2.166.0","Yes","","Yes","","Yes","","Lainnya","Lantai kotor","Yes","","Yes","","Yes","","Yes",""
"32","2025-09-17 09:01:05","8","id","1029607701","perdana","2025-09-17 09:00:41","2025-09-17 09:01:05","114.124.209.0","Yes","","Yes","","Yes","","Lainnya","Lantai kotor","Yes","","Yes","","Yes","","Yes",""
"33","2025-09-18 09:38:55","8","id","846414390","pandu","2025-09-18 09:38:15","2025-09-18 09:38:55","10.35.37.0","Yes","","Yes","","Yes","","Lainnya","Kotor","Yes","","Yes","","Yes","","Yes",""
"34","2025-09-22 10:48:37","8","id","393717242","abimanyu","2025-09-22 10:48:12","2025-09-22 10:48:37","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"35","2025-09-24 10:21:46","8","id","1365176843","perdana","2025-09-24 10:21:21","2025-09-24 10:21:46","182.0.204.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
